,mcc,mcc_name,mcc_group,big_cashback,no_cashback
82,3068,Air Astana (AIRSTANA),"Авиалинии, авиакомпании",0,0
83,3069,Sun Country Airlines (SUNCNTRY),"Авиалинии, авиакомпании",0,0
84,3071,Air British Columbia (AIR B R C),"Авиалинии, авиакомпании",0,0
85,3072,Cebu PaciÒc (CEBU PAC),"Авиалинии, авиакомпании",0,0
86,3073,Air Cal,"Авиалинии, авиакомпании",0,0
87,3075,Singapore Airlines (SINGAPOR),"Авиалинии, авиакомпании",0,0
88,3076,Aeromexico (AEROMEXI),"Авиалинии, авиакомпании",0,0
89,3077,Thai Airways (THAIAIRW),"Авиалинии, авиакомпании",0,0
90,3078,China Airlines (CHINAAIR),"Авиалинии, авиакомпании",0,0
91,3079,Jetstar Airways (JETSTAR),"Авиалинии, авиакомпании",0,0
92,3081,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
93,3082,Korean Airlines (KOREAN),"Авиалинии, авиакомпании",0,0
94,3083,Air Afrique (AIR AFRIQ),"Авиалинии, авиакомпании",0,0
95,3084,Eva Airways (EVA AIR),"Авиалинии, авиакомпании",0,0
96,3085,Midwest Express Airlines (MIDWEST),"Авиалинии, авиакомпании",0,0
97,3086,Carnival Airlines,"Авиалинии, авиакомпании",0,0
98,3087,Metro Airlines (METROAI),"Авиалинии, авиакомпании",0,0
99,3088,Croatia Air (CROATIA),"Авиалинии, авиакомпании",0,0
100,3089,Transaero (TRANSAERO),"Авиалинии, авиакомпании",0,0
101,3090,Название,Uni Airways (UNIAIR),0,0
102,3092,Midway Airlines,"Авиалинии, авиакомпании",0,0
103,3093,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
104,3094,Zambia Airways (ZAMBIA A),"Авиалинии, авиакомпании",0,0
105,3095,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
106,3096,Air Zimbabwe (AIRZIMBA),"Авиалинии, авиакомпании",0,0
107,3097,Spanair (SPANAIR),"Авиалинии, авиакомпании",0,0
108,3098,Asiana Airlines (ASIANA),"Авиалинии, авиакомпании",0,0
109,3099,Cathay PaciÒc (CATHAYPA),"Авиалинии, авиакомпании",0,0
110,3100,Malaysian Airline System (MALAY AI),"Авиалинии, авиакомпании",0,0
111,3101,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
112,3102,Iberia (IBERIA),"Авиалинии, авиакомпании",0,0
113,3103,Garuda (Indonesia) (GARUDA),"Авиалинии, авиакомпании",0,0
114,3104,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
115,3105,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
116,3106,Braathens S.A.F.E. (Norway) (BRAATHEN),"Авиалинии, авиакомпании",0,0
117,3107,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
118,3109,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
119,3110,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
120,3111,British Midland (BRITISH M),"Авиалинии, авиакомпании",0,0
121,3112,Windward Island (WINDWARD),"Авиалинии, авиакомпании",0,0
122,3113,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
123,3114,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
124,3115,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
125,3116,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
126,3117,Venezolana International de Aviacion (VIASA),"Авиалинии, авиакомпании",0,0
127,3118,Название,"Авиалинии, авиакомпании",0,0
128,3119,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
129,3120,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
130,3121,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
131,3122,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
132,3123,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
133,3124,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
134,3125,Tan Airlines (TAN AIR),"Авиалинии, авиакомпании",0,0
135,3126,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
136,3127,Taca International (TACA INT),"Авиалинии, авиакомпании",0,0
137,3128,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
138,3129,Surinam Airways (SURINAM),"Авиалинии, авиакомпании",0,0
139,3130,Sunworld International Airways (SUNWORLD),"Авиалинии, авиакомпании",0,0
140,3131,VLM Airlines (VLM),"Авиалинии, авиакомпании",0,0
141,3132,Frontier Airlines (FRONTIER),"Авиалинии, авиакомпании",0,0
142,3133,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
143,3134,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
144,3135,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
145,3136,Qatar Airways Company W.L.L. (QATAR AIR),"Авиалинии, авиакомпании",0,0
146,3137,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
147,3138,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
148,3139,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
149,3140,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
150,3141,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
